pelapor,tanggal_masuk_laporan,judul_laporan,detail_keluhan,instansi
Anonim,"Rabu, 11:37","Konsultasi Teknis, Pembiayaan, Tata Cara / prosedur aplikasi","""Halo dengan BBPPT Kominfo?, Kami sedang berminat melakukan pengetesan RF utk produk mouse. Apakah bisa dibantu biaya, lama pengujian dan dokumen apa yang akan kami terima?Perangkatnya mouse wireless dengan dongle 2.4g pak/buitu biayanya berapa ya kira2""",Kementerian Komunikasi dan Informatika
Anonim,Tatap Muka,Tata Cara / Prosedur Aplikasi,"""Selamat siang, Mau tanya Saya mau test EMC utk Radio alat komunikasi, Nama website untuk ini apa ya.Dulu pernah, Sekarang alurnya bagaimana yaBerati nanti PLG ID nya berbeda ya dengan PLG ID E-Sertifikasi ?Bisa login bu. """,Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:35",Aplikasi Bermasalah,"""Mas Egi Mau menanyakan terkait Catatan yang ada di riwayat aplikasi mas Ini yang salah memang hanya Foto Perangkat dan label Made In?""",Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Lainnya,"Mengenai Tata Cara Prosedur Pengujian Perangkat, Biaya Pengujian dan Waktu Pengujian",Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:34",Sampel Uji,"""Sore.. Pak/Bu kalau sudah terbit LHU berarti brg sudah bs diambil kembali kan ya?jamnya bebas kan?""",Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Kapasitas Lab / Pembiayaan,Selamat PAgi untuk Emc conducted dan radiated apakah benar total biayanya 10jt ?,Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:31",Informasi Umum,"""Pak, besok kan saya mau antar barang untuk pengujian.alamatnya dimana ya Pak""",Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Kapasitas Lab,Untuk pengujian Electrical Safety sdh bisa juga yah,Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:30",Tata Cara / Prosedur Aplikasi,Bagaimana cara membuat akun https://bbppt.postel.go.id/pengujian/,Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Pembiayaan,"""untuk pengujian EMC conducted at telecom port, apa di charge 1 kali harga atau gimana?jadi kalo ada unit pake adapter + ada port RJ11 + RJ45, biaya uji EMC conductednya jadi berapa ya?""",Kementerian Komunikasi dan Informatika
