pelapor,tanggal_masuk_laporan,judul_laporan,detail_keluhan,instansi
Anonim,"Rabu, 11:37","Konsultasi Teknis, Pembiayaan, Tata Cara / prosedur aplikasi","""Halo dengan BBPPT Kominfo?, Kami sedang berminat melakukan pengetesan RF utk produk mouse. Apakah bisa dibantu biaya, lama pengujian dan dokumen apa yang akan kami terima?Perangkatnya mouse wireless dengan dongle 2.4g pak/buitu biayanya berapa ya kira2""",Kementerian Komunikasi dan Informatika
Anonim,Tatap Muka,Tata Cara / Prosedur Aplikasi,"""Selamat siang, Mau tanya Saya mau test EMC utk Radio alat komunikasi, Nama website untuk ini apa ya.Dulu pernah, Sekarang alurnya bagaimana yaBerati nanti PLG ID nya berbeda ya dengan PLG ID E-Sertifikasi ?Bisa login bu. """,Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:35",Aplikasi Bermasalah,"""Mas Egi Mau menanyakan terkait Catatan yang ada di riwayat aplikasi mas Ini yang salah memang hanya Foto Perangkat dan label Made In?""",Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Lainnya,"Mengenai Tata Cara Prosedur Pengujian Perangkat, Biaya Pengujian dan Waktu Pengujian",Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:34",Sampel Uji,"""Sore.. Pak/Bu kalau sudah terbit LHU berarti brg sudah bs diambil kembali kan ya?jamnya bebas kan?""",Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Kapasitas Lab / Pembiayaan,Selamat PAgi untuk Emc conducted dan radiated apakah benar total biayanya 10jt ?,Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:31",Informasi Umum,"""Pak, besok kan saya mau antar barang untuk pengujian.alamatnya dimana ya Pak""",Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Kapasitas Lab,Untuk pengujian Electrical Safety sdh bisa juga yah,Kementerian Komunikasi dan Informatika
Anonim,"Rabu, 11:30",Tata Cara / Prosedur Aplikasi,Bagaimana cara membuat akun https://bbppt.postel.go.id/pengujian/,Kementerian Komunikasi dan Informatika
Anonim,Whatsapp,Pembiayaan,"""untuk pengujian EMC conducted at telecom port, apa di charge 1 kali harga atau gimana?jadi kalo ada unit pake adapter + ada port RJ11 + RJ45, biaya uji EMC conductednya jadi berapa ya?""",Kementerian Komunikasi dan Informatika
Anonim,"Jumat, 11:54",Server Website Cekbansos Error,Saya ingin menginfokan bahwa server cekbansos error. saya ingin memilih provinsi namun tidak ada provinsi yang muncul dan saat saya cek ternyata server error. saat saya menggunakan hp untuk membuka aplikasi saat memilih bagian provinsi juga error,Kementerian Sosial
Anonim,Website,Saldo Kks Kosong,"Mohon bantuannya.kks warga saya tidak ada saldonya mohon di bantuLokasi Kejadian KABUPATEN CIANJUR | BOJONGPICUNG | JATI | Kp. Jati Rt 04 Rw 02, Desa Jati, Kecamatan Bojongpicung, kabupaten Cianjur, Jawa BaratKewenangan KEMENTERIAN SOSIAL",Kementerian Sosial
Anonim,"Kamis, 15:09",Sudah Tiga Bulan Bansos Bpnt Tidak Cair,"Selamat malam,perkenal kan nama saya didin penerima manfaat bpnt, mau bertanya kenapa sudah tiga bulan ini bpnt saya blm juga cair ya, apakah di berhentikan ataw bagai mana dan kemana saya harus melapor... mohon kiranya di bantu untuk di terus kan ke pada instansi yg terkait sebab, saya blm menerima pemberitahuan dri desa ataw pun pendamping terkait tentang kejelasan status kks saya.. terimakasih",Kementerian Sosial
Dewi Diana,Hotline Service,Bansos Bpnt,Sudah 3 bulan ini bpnt suami saya tidak keluar .. tolong bantuannya .. krna sudah dari sejak pertama kali ada bpnt suami saya selalu kluar ..,Kementerian Sosial
Anonim,"Rabu, 21:49",Cek Bansos.,"Tidak bisa login utk aplikasi cek bansos krn nomor hp dan email sudah ganti,utk nomor hp dan email-nya nomor yg dulu sudah lupa,mohon utk bantuannya supaya bisa login ke aplikasi cek bansos
terima kasih",Kementerian Sosial
Amalia,Website,Penyaluran Dana Bantuan Sosial Pkh Tidak Tepat Sasaran,"Saya dari kel krembangan utara, kec. pabean cantian, surabaya rt 2 rw 5

ibu saya penerima pkh sejak sekitar 2013 an karena memang masuk dalam kategori warga dtks dan penyandang disabilitas fisik (buta permanen) dan memiliki tanggungan anak sekolah. namun bulan maret ini pkh ibu saya terhenti tanpa alasan sehingga saya cek di cek bansos bahwa ibu saya dinyatakan sudah tidak berhak menerima pkh. padahal ibu saya masuk dalam syarat kategori warga kurang mampu dan saya bekerja masih di bawah umr. ibu saya masih ada tanggungan anak sekolah yang tidak di cover pip ataupun besmart. mohon di bantu di tindaklanjuti karena bukan hanya saya saja yang tidak tepat sasaran. banyak dari lansia kurang mampu tiba2 di tahun 2024 tidak dapat lagi padahal mereka sangat membutuhkan bantuan dari pemerintah",Kementerian Sosial
Anonim,"Rabu, 20:33",Pengaduan Dtks Bansos+Kjp,"Selamat siang saya abdul hadi dg nomor nik 3309052107760004 sudah terdaftar di status pendaftaran bansos di bulan agustus tahun 2022 dengan keterangan musyawarah kelurahan, tapi sampai sekarang kok belum ada keterangan dari pihak kelurahan maupun rt lokasi saya sekarang ada di jalan dukuh v nomor 14 rt 03 rw 04, kelurahan dukuh kecamatan kramat jati jakarta timur. yang awal pendaftaran dtks di kampung (randusari karanggeneng boyolali jawa tengah) awal adanya musibah virus corona, dan saya sudah pernah mendapatkan bantuan pkh,pip anak. sekarang saya pindah ke jakarta karena ada musibah yang menimpa anak saya (pelecehan dan kekerasan anak saya oleh si pelaku, dan sekarang jumlah kau sudah dalam kurungan penjara) sebelum ditahan saya sudah pindah duluan ke jakarta untuk menyelamatkan anak istri saya.mohon untuk diaktifkan lagi dtks saya yang dulu di kampung karena pindah ke jakarta supaya berfungsi lagi. karena saya di jakarta sangat membutuhkan valeri apalagi bingung untuk bayar kontrakan dan kehidupan sehari-hari juga anak sekolah terima kasih, dulu satu tahun yang lalu saya pernah bantuan dari sentra handayani berupa bahan pokok kasur lemari dan pakaian anak-anak",Kementerian Sosial
Abdul Halim,Website,Usulan,Saya sudah terdaftar dtks tapi kenapa saya tidak dapat bantuan mohon penjelasannya nama abdul halim nik 3214161512860001 rt 013 rw 007 ds sukajadi kec pondok salam kab purwakarta propinsi jawa barat,Kementerian Sosial
Anonim,"Rabu, 18:41",Bansos,"Assalamualaikum ibu/bpk, saya mau menanyakan bantuan saya sudah lama tidak keluar yang sembako sama uang anak sekolah itu buk/pak, tolong di cekk no.kk saya 1472012510670001. dan kalau tidak dapat lagi apa bisa di usulkan kembali? terimakasih",Kementerian Sosial
Angger djiwo wiguno,Website,Penerima Kks 2021 Tidak Menerima Bpnt 2024,"Kepada yang terhormat : biro humas kemensoshari/tanggal : selasa, 12 maret 2024nama pelapor : angger djiwo wigunonik pelapor : 7571021512940001nomor kk pelapor : 7571092109160003usia pelapor : 30 tahunalamat pelapor -desa : pohe-kecamatan : hulonthalangi-kabupaten/kota : gorontalo-provinsi : gorontalonomor hp : 082216636727pekerjaan : wiraswastadengan ini saya ingin melaporkan, penerima manfaat yang terdaftar di dtks diatas tidak menerima bpnt di tahun 2024 sejak tahap 1 januari sampai tahap 3 maret berlangsung , sekiranya dengan adanya laporan ini pemerintah khususnya kementrian sosial lebih memperhatikan data data dtks yang ada. sebelumnya saya haturkan terima kasih atas perhatiannya.",Kementerian Sosial
Ai Siti Fatimah,"Rabu, 14:24",Perihal Pkh Periode Januari-Maret,"Saya belum menerima/mendapatkan pkh periode januari-maret sampai sekarang ini.
mohon bantuannya",Kementerian Sosial
Anonim,Website,Di Coret Dari Bansos Pemerintah,"Saya sebagai warga yang layak penerima , sudah dapat ko di coret lagi dari bansos...
anak 2 kebutuhan banyak,,, ehh di coret",Kementerian Sosial
Anonim,"Rabu, 12:52",Bantuan Sembako,"Min, istri saya dapat bantuan sembako untuk bulan januari di aplikasi cek bansos. tapi sampai sekarang belum dapat sembakonya, ini gimana bu mensos?",Kementerian Sosial
Anonim,Website,Pelayanan Pendaftaran Dtks,"Selamat siang min, saya ingin melaporkan. saya kan daftar dtks di desa karangraharja, cikarang utara, kabupaten bekasi. namun, psm nya kurang memahami apa itu dtks. bisa minta tolong dibantu saya ingin mendaftar kuliah dengan kip",Kementerian Sosial
Anonim,"Rabu, 11:04",Pengaduan Bansos Pkh Tidak Cair,Terakhir menerima bansos pkh pada bulan mei tahun 2021 setelah itu sampai sekarang tidak menerima sama sekali . padahal bulan februari 2024 kemarin mayoritas menerima bansos pkh,Kementerian Sosial
Edy Gondes,Android,Bpnt,"Bpnt gak cair bulan maret ..di januari cair ,",Kementerian Sosial
Anonim,"Rabu, 10:55",Bpnt,Pm bpnt tidak cair hampir 1 tahun,Kementerian Sosial
Anonim,Website,Aplikasi Cek Bansos,Udah 1 minggu akun cek bansos saya ga diverifikasi saya udh lama nunggu gimana nih petugas nya,Kementerian Sosial
Anonim,"Rabu, 10:42",Akun Bansos,"Mohon bantuannya untuk menghapus akun bansos, karna saat pengisian data akun peserta salah menginput email, kenapa akun minta di hapus karna untuk mendaftar lagi tidak bisa sebab nik yg digunakan sudah terdaftar di akun yg salah, nik yg di gunakan 3577035812610002 a.n. Sunarti",Kementerian Sosial
Anonim,Android,Bpnt Saya Tidak Cair,Mohon penjelasannya kenapa bpnt saya tidak cair di bulan ini atas nama andri rudianto nik 3577013004870002,Kementerian Sosial
Anonim,"Jumat, 13:47",menabrak,"Menabrak dari belakang,langsung pergi tidak tanggung jawabLokasi Kejadian [KOTA BANDUNG] | [REGOL] | [PASIRLUYU] | [menabrak dari belakang langsing pergi tidak tanggung jawab]Aduan ini menjadi kewenangan POLRI",Kepolisian Negara Republik Indonesia
Rihan Utami,Hotline Service,Pelarangan Pindah Agama Oleh Keluarga,"Nama saya rihan utami. saya berusia 24 tahun. saya sudah memeluk agama kristen sejak beberapa tahun yang lalu namun keluarga baru mengetahui hal tersebut karena saya selama ini diam dan tidak berani memberitahukan hal tersebut. setelah mengetahui hal tersebut, selayaknya keluarga pasti akan melarang anaknya untuk pindah agama. namun hal tersebut bertentangan dengan uud pasal 28 e ayat 1 dan 2 tentang kebebasan memeluk agama bagi setiap orang. tidak hanya melarang namun juga melakukan tindakan pengurungan selama satu bulan, saya tidak bisa bekerja lagi, handphone diambil paksa tidak bisa berkomunikasi dengan orang lain. meski dirumah tetap diberikan makan namun setiap gerakan selalu diawasi. keluarga selalu memaksa melakukan ibadah solat namun keyakinan saya tidak ada disana. mereka juga sering melakukan tindakan kekerasan seperti menarik rambut, menampar mulut dan juga mencekik. keluarga juga membawa ke tempat rukiyah untuk didoakan namun tidak hanya itu, orang suruhan keluarga juga melakukan tindakan penganiayaan dengan menahan leher, menekan dada sehingga tidak bisa bernafas. keluarga pun merelakan jika saya dibunuh oleh orang tersebut jika tidak mengikuti perintahnya. pada saat itu saya menyerah namun tetap mempertahankan iman saya kepada kristen. setelah kejadian itu, kembali mendapat siksaan dari keluarga hingga hampir saja menggunakan parang untuk membunuh saya namun dihalangi oleh orang lain. saya memohon keadilan agar kiranya saya dapat memeluk agama yang saya pilih tanpa ada tekanan dari pihak manapun.",Kepolisian Negara Republik Indonesia
Anonim,"Jumat, 11:52",Tidak Sesuai Ketetapan,"Biaya mutasi sudah diatur dalam peraturan pemerintah nomor 76 tahun 2020 tentang jenis dan tarif atas jenis penerimaan negara bukan pajak (pnbp). Pada aturan tersebut, biaya mutasi motor dikenakan tarif sebesar rp150 ribu.saya di mintai 500 atau juga di tawari 780 untuk plat baru dan alamat tetap. Tolong ini merugikan terutama yang sudah miskin banyak hutang macam saya .ngawi 4 maret 24, samsat ngawi",Kepolisian Negara Republik Indonesia
Anonim,Website,Apresiasi Untuk Kapolres Bandung,"Yth. lapor.go.id,
saya tadi pagi lewat di prapatan lima (simpang lima) kota bandung.
tanggal 23 feb 2024, sekitar pukul 10.00 pagi.
sedang ada ""operasi"" menilang dan menangkapi motor-motor bodong (motor tanpa plat nomor).
mantap banget ini, bro.

nah, gitu donk, polisi!
kapolres bandung harus berani! libasss ""motor bodong""!

mantappp!
hormat saya,
rudy hendra",Kepolisian Negara Republik Indonesia
Anonim,"Jumat, 11:51",Laporan Saya Di Arsip Dan Tidak Di Prosses,"Anak sekolah yang menggunakan kendaraan bermotor di jalan raya
izin menyampaikan pengaduan ibu/bapak yang bekerja di intansi terkait, saya resah dengan banyaknya anak sekolah smp dan sma yang membawa kendaraan bermotor, selain tidak taat aturan seperti tidak menggunakan helm, merokok sambil berkendara, bonceng 3 atau lebih terkadang cara mereka berkendara ugal ugalan dan sangat mengganggu pengendara yang lain.

mohon di tindak karena setahu saya syarat berkendara di jalan raya salah satunya sim (surat izin mengemudi).
untuk lokasi di jalan pelabuhan ll kab. sukabumi sma 1 cikembar, (anak sma dan smp) dan di jalan printis kemerdekaan sekitaran smp 3 cikembar (anak smp)
saya ucapkan terima kasih",Kepolisian Negara Republik Indonesia
Anonim,Android,Tilang sdh dibayar tapi status masih tilang etle,"Mohon dibuka status tilang etle nya karena sudah saya bayar dg bukti pembayaran sebagaimana foto diatasLokasi Kejadian [KABUPATEN BEKASI] | [TAMBUN SELATAN] | [SETIAMEKAR] | [Parah banget, status tikang gak otomatis update manakala sudah bayar denda tilang etle]Aduan ini menjadi kewenangan Polres Kab Bekasi",Kepolisian Negara Republik Indonesia
Anonim,"Jumat, 10:33",Penipuan hipnotis,"Tanggal 3 januari lokasi garut pukul 8 malam di desa cibiuk dekat polsek cibiuk komplek pemakaman kasepuhanAwal saya datang kesana bersama pelaku mengaku juru kunci setempat. Karna saya jauh dari majalengka ke garut untuk ziarah .bertemu di cileunyi bandung lalu ke garut .Motor pelaku yang setir karna saya kecapean perjalanan jauh. Kunci dia pegangSaya ziarah keatas. Dia lalu bilang izin untuk kebawah ngopi di warung .Saya setelah ziarah, lihat ke warung tidak ada orang, lihat ke parkiran tidak ada kendaraan saya.Saya sadar ketika saya megang hp dan ingat motor beserta pelaku tidak ada.Sudah lapor polsek setempatNamun karna tas saya yang berisi ktp, stnk, kartu ,atm ,bpjs ,kartu darah semua hilang jadi tidak bisa di proses. Dikarnakan Ktp terbawa tas yang ada di motor, bpkb motor ada di koperasi simpan pinjam.Lokasi Kejadian KABUPATEN GARUT | CIBIUK | CIBIUK KALER | Polsek cibiuk setelah simpang tiga agak dalam masuk sebelah kanan jalan dekat turunan/tanjakan. Di dekat pemakamanKewenangan Pemerintah Kabupaten Garut",Kepolisian Negara Republik Indonesia
Fauzan Aqil,Website,Situs Judi Online Penipu,"Awalnya saya penasaran dengan sms dari situs link judi online https://m.jp777.homes/id/center_deposit , saya mulai dengan depo 20 tapi maksimal 25 jadi kurang 5 dengan tf susulan, sekitar 30 mnt uangnya gak masuk, saya chat adminya ternyata maksimal 100 untuk akun baru dari pada uang 25nya ga bisa di pakai jadi saya tambahkan 75 masuk lah uang tersebut di saldo saya, terus saya tarik lagi uangnya karena saya tidak berminat untuk bermain dengan modal tinggi, saldonya di tarik tapi gak di masukkin ke rek, dengan alasan ada di lampirkan di file berikut bukti chatan saya sampai akhir semuanya, dan di atas nama situa linknya dan ini nama rek adminya, atas nama juriyah : 4142405621",Kepolisian Negara Republik Indonesia
Intan Yusani Wulan,"Jumat, 10:32",Tertipu Online,"Saya berniatan membeli akun game di istagram oxtshop.id2 pertama saya tawar menawar harga dengan beliau dab kita sling setuju dan sampai via transfer melalui qris stelah saya transfer beliau bilang ada tambahan admin 100 ribu dan stelah saya transfer beliau bilang akun game tersebut sudah sold saya di tawarin akun lain dngan harga yg lbih tinggi tapi saya tidak mau . disini saya harnya ingin uang saya kembali tapi beiau tidak mau mengembalikan ya,, dengan terhormat mohon pihak yah berwajib membantu saya,, terima kasih",Kepolisian Negara Republik Indonesia
Rosita Herawati,Website,Lapor Situs Judi Online Penyusup Website Pemerintah Kabupaten Barito Timur,"Hallo lapor!

kami melaporkan halaman phising, penipu, dan judi online yang menggunakan nama produk orang lain sekaligus menyusup pada website pemerintah kabupaten barito timur untuk memasarkan situs judi online penipu mereka.

berikut cara licik yang mereka gunakan untuk menyusup menggunakan nama produk kami :

1. mereka menyusup ke domain ini : https://sptpd.baritotimurkab.go.id/module/application/src/?tunnel=hoki777 meskipun halaman tersebut sudah mati namun link amphtml mereka masih dapat diakses melalui mobile.

2. link amphtml : https://sakitperut.pages.dev/

3. link daftar amphtml : https://lakuponplay.xn--q9jyb4c/?site=3fa7b2457b23e291786da9c9922b60c6&ref=91sjryz2

4. situs tujuan : https://www.lakupon12.lol/register?code=91sjryz2

tolong segera blokir atau takedown situs tersebut, agar tidak ada lagi orang yang tertipu.

terima kasih.",Kepolisian Negara Republik Indonesia
Dwi Yulianto,"Rabu, 13:30",Penipuan Online Handphone,"Penipuan penjualan handphone di instagram dengan user @puspa02, kerugian rp.5.900.000 , setelah pelunasan barang tidak dikirim tetapi malah memblokir akun saya",Kepolisian Negara Republik Indonesia
Rr Yolanda Octaviani,Hotline Service,Penipuan,"Awalnya saya ingin membeli gula dengan jumlah banyak, saya carilah di marketplace fb dan saya chat penjual, saya diberi no wa yg bisa dihubungi, setelah itu saya chat no wa tersebut, tidak terlalu lama dari chat saya, penjual menguhubungi saya berkali², bahkan chat saya bilang saya tidak jelas, namun saya tetap tidak bisa mengangkat tlp kondisi saat itu saya msh nglesi murid, namun penjual tetap tlp berkali-kali, alhasil saya minta tolong ke suami saya untuk mengangkat tlp tersebut, suami berbincang dengan penjual tersebut, katanya harus beli 10 kardus dengan harga 1 dusnya 330.00 isi 24. namun setelah saya diberi tahu suami harga segitu dan harus ambil 10 kardus sebenarnya dalam hati saya ragu kalau membeli dalam jumlah segitu karena saya takut tidak laku, karena saya pedagang baru, tapi suami meyakinkan saya kalau pasti laku, alhasil saya mengiyakan permintaan suami untuk beli 10 kardus, suami diberi alamat penjual, dan saya dan suami bergegas kealamt tersebut, suami dan saya mengira ini rumahnya dan yang ada adalah pegawainya ternyata bukan pegawainya tetapi pemiliki asli gula tersebut nama beliau pak junaedi, namun saya baru sadar di tipu setelah saya sudah transfer dan pihak pak junaedi sang pemilik gula asli ini bilang saya belum di transfer mas, mbak, dan memberitahukan bukti mutasi rekening kalau masih kosong, selang berapa menit pak junaedi mendapatkan bukti mutasi namun pak junaedi cek kembali tetap kosong, lah baru ini kita menyadari kalau kita sudah tertipu dan lenyap uang saya sejumlah 330.000 x 10 = 3.300.000. mohon kiranya untuk bisa saya untuk uang saya kembali karena uang ini adalah uang tabungan saya selama 1th dari gaji saya sebagai guru yang gajinya minim dan ingin menambah pendapatan dari berjualan namun nasib buruk saya, saya dan suami ketipu seperti ini. sekali lagi mohon bantuannya.",Kepolisian Negara Republik Indonesia
Noviyanti Kartikacandra,"Rabu, 09:26",Mesin Pompa Air Milik 5 Orang Hilang,"Mesin pompa air milik beberapa orang di daerah panawangan, kabupaten ciamis, jawa barat tiba-tiba hilang. yang digunakan untuk memompa air sumur ke rumah-rumah warga. sumur-sumur yang di pompa oleh mesin itu berada di dalam hutan yang jarang di kunjungi warga. belum lama ini ayah saya diberi tahu oleh tetangga saya kalo dia kehilangan mesin pompa airnya, kemudian ayah saya juga memeriksanya ke sumur dan mesin pompa air milik ayah saya juga hilang. tidak cuma itu saja, tapi sebelumnya juga ada laporan dari beberapa dusun yang sama warganya kehilangan mesin pompa airnya.",Kepolisian Negara Republik Indonesia
Megawati,Hotline Service,Penipuan Online,"Beli baju di online lewat wa tapi orangnya minta tf jadi kita tf 750rb katanya barang nya sudah diproses sekalinya ada orang wa katanya dari pihak bea cukai minta biaya pengiriman baju sekitar 1.500.000
kita transfer ke bank bri
nama toko online nya myfashionstore.id
nama penipu siti aisyah
no rekening penipu 752801017661531
no tlpn penipu +62 838-5627-2713",Kepolisian Negara Republik Indonesia
Nurhayati Gusti S Pd,"Rabu, 09:24",Penipuan Belanja Online,"Sy pesan barang yg dijual secara online melalui wa ,setelah kesepakatan barang yg sy pesan cara membayarnya dengan cod,barang ada kemudian sy transfer pembayarannya,barang sy pesan dn selang 2 hari kemudian ada dari pihak jnt menelpon sy mengatakan kalau barang sy sudah ada d kntor mereka tinggal menunggu pembayaran yg sy hrs transfer ke no rekening bri 402801035718531 atas nama restu diana mukti sebesar rp.770.000,setelah sy transfer dr pihak kntor jnt tdk mau mengantar barangnya katanya harga barang tdk sesuai dgn yg tertera pada aplikasi di kantor mereka,sy ingin uang sy dikembalikan",Kepolisian Negara Republik Indonesia
Savitri Winahyu,Website,Penipuan Dan Penggelapan Uang,"Minggu 8-3- 2024 saya mengirim paket ke nama : novia harlianti (toko mas hasanah palangkaraya) alamat : jl. ebony no.12 panarung pahandut palangkaraya berisi gelang dan cincin berlian untuk di jual ke toko mas tersebut.
tanggal 11-3-2024 paket telah di terima oleh novia harliati (toko mas hasanah palangkaraya)
tanggal 12-3-2024 saya konfirmasi untuk paket saya yg berisi gelang dan cicin untuk penjualan dan di transfer di rekening saya yang saya tulis di belakang nota gelang dan cincin tapi ibu novia harliati tidak transfer saya dengan alasan sudah transfer yang bukan atas nama saya dan bukan rekening bank saya mohon segera di tindak lanjuti karena ibu novia harliati menipu saya dengan alasan sudah transfer yang bukan rekening atas nama saya nominal uang yang harusnya sy terima untuk penjualan gelang dan cincin sebesar 28 jt blm di potong biaya jual berlian.",Kepolisian Negara Republik Indonesia
Savitri Winahyu,"Rabu, 07:04",Penipuan Dan Penggelapan Uang,Minggu 8-3- 2024 saya mengirim paket ke nama : novia harlianti alamat : jl. ebony no.12 panarung pahandut palangkaraya berisi gelang dan cincin berlian untuk di jual tanggal 11-3-2024 paket telah di terima oleh novia harliati (toko mas hasanah palangkaraya) tanggal 12-3-2024 saya konfirmasi untuk paket saya yg berisi gelang dan cicin untuk penjualan dan di transfer di rekening saya yang saya tulis di belakang nota gelang dan cincin tapi ibu novia harliati tidak transfer saya dengan alasan sudah transfer yang bukan atas nama saya dan bukan rekening bank saya mohon segera di tindak lanjuti karena ibu novia harliati menipu saya dengan alasan sudah transfer yang bukan rekening atas nama saya nominal uang yang harusnya sy terima untuk penjualan gelang dan cincin sebesar 28 jt blm di potong biaya jual berlian,Kepolisian Negara Republik Indonesia
Shalahuddin Galih Pradipta,API,Pelaporan Pemerasan Berkedok Prostitusi Online,"Saya ingin melaporkan sebuah bentuk pemerasan berkedok prostitusi online. saya terjerat penipuan dan pemerasan, saya dikirim file video porno, dan chat tersebut discreenshot pelaku. kemudian saya diancam penyebaran data pribadi.",Kepolisian Negara Republik Indonesia
